"",区站号,省份,站名,纬度,经度
241,59264.0,广东,封开,23.24,111.3
242,59268.0,广东,郁南,23.15,111.32
243,59269.0,广东,德庆,23.1,111.47
244,59270.0,广东,怀集,23.55,112.11
245,59271.0,广东,广宁,23.38,112.26
246,59276.0,广东,四会,23.21,112.39
247,59278.0,广东,高要,23.02,112.27
248,59279.0,广东,三水,23.11,112.52
249,59280.0,广东,清远,23.43,113.05
250,59284.0,广东,花都,23.25,113.14
251,59285.0,广东,从化,23.34,113.36
252,59287.0,广东,广州,23.13,113.29
253,59288.0,广东,南海,23.09,113.01
254,59289.0,广东,东莞,22.58,113.44
255,59290.0,广东,龙门,23.47,114.15
256,59293.0,广东,河源,23.48,114.44
257,59294.0,广东,增城,23.2,113.5
258,59297.0,广东,博罗,23.11,114.17
259,59298.0,广东,惠阳,23.04,114.22
260,59303.0,广东,五华,23.55,115.45
261,59304.0,广东,紫金,23.38,115.11
262,59306.0,广东,揭西,23.27,115.51
263,59310.0,广东,丰顺,23.46,116.11
264,59312.0,广东,潮州,23.4,116.42
265,59313.0,广东,饶平,23.41,116.59
266,59314.0,广东,普宁,23.18,116.08
267,59315.0,广东,揭阳,23.35,116.24
268,59316.0,广东,汕头,23.24,116.41
269,59317.0,广东,惠来,23.02,116.18
270,59318.0,广东,潮阳,23.16,116.35
271,59319.0,广东,澄海,23.26,116.5
272,59324.0,广东,南澳,23.26,117.02
273,59456.0,广东,信宜,22.21,110.56
274,59462.0,广东,罗定,22.42,111.36
275,59469.0,广东,阳春,22.1,111.47
276,59470.0,广东,新兴,22.42,112.12
277,59471.0,广东,云浮,22.56,112.03
278,59473.0,广东,鹤山,22.46,112.58
279,59475.0,广东,开平,22.24,112.39
280,59476.0,广东,新会,22.32,113.02
281,59477.0,广东,恩平,22.16,112.14
282,59478.0,广东,台山,22.15,112.47
283,59480.0,广东,顺德,22.51,113.15
284,59481.0,广东,番禺,22.56,113.19
285,59485.0,广东,中山,22.3,113.24
286,59487.0,广东,斗门,22.14,113.18
287,59488.0,广东,珠海,22.17,113.34
288,59492.0,广东,惠东,22.58,114.44
289,59493.0,广东,深圳,22.32,114.0
290,59500.0,广东,海丰,22.58,115.19
291,59501.0,广东,汕尾,22.48,115.22
292,59502.0,广东,陆丰,22.57,115.39
293,59650.0,广东,遂溪,21.24,110.15
294,59653.0,广东,高州,21.56,110.51
295,59654.0,广东,廉江,21.38,110.18
296,59655.0,广东,化州,21.39,110.37
297,59656.0,广东,吴川,21.24,110.49
298,59658.0,广东,湛江,21.09,110.18
299,59659.0,广东,茂名,21.45,110.55
300,59663.0,广东,阳江,21.5,111.58
301,59664.0,广东,电白,21.32,110.59
302,59673.0,广东,上川岛,21.44,112.46
303,59750.0,广东,雷州,20.58,110.04
304,59754.0,广东,徐闻,20.2,110.11
305,57859.0,广西,资源,26.02,110.38
306,57927.0,广西,天峨,24.58,107.11
307,57941.0,广西,三江,25.47,109.36
308,57942.0,广西,龙胜,25.48,110.0
309,57947.0,广西,融安,25.13,109.24
310,57948.0,广西,融水,25.05,109.15
311,57949.0,广西,永福,24.59,110.0
312,57954.0,广西,临桂,25.14,110.11
313,57955.0,广西,兴安,25.37,110.4
314,57956.0,广西,灵川,25.25,110.19
315,57957.0,广西,桂林,25.19,110.18
316,57960.0,广西,全州,25.56,111.04
317,57964.0,广西,灌阳,25.3,111.09
318,59001.0,广西,隆林,24.47,105.2
319,59004.0,广西,西林,24.3,105.06
320,59012.0,广西,乐业,24.47,106.33
321,59015.0,广西,凌云,24.21,106.34
322,59017.0,广西,田林,24.16,106.16
323,59021.0,广西,凤山,24.33,107.02
324,59023.0,广西,河池,24.42,108.02
325,59025.0,广西,东兰,24.32,107.23
326,59027.0,广西,巴马,24.08,107.15
327,59031.0,广西,环江,24.49,108.16
328,59034.0,广西,宜州,24.29,108.4
329,59037.0,广西,都安,23.56,108.06
330,59038.0,广西,忻城,24.04,108.39
331,59041.0,广西,柳城,24.39,109.15
332,59044.0,广西,沙塘,24.28,109.23
333,59045.0,广西,鹿寨,24.29,109.45
334,59046.0,广西,柳州,24.21,109.24
335,59047.0,广西,柳江,24.15,109.2
336,59052.0,广西,恭城,24.5,110.49
337,59053.0,广西,平乐,24.37,110.4
338,59055.0,广西,荔浦,24.3,110.24
339,59057.0,广西,金秀,24.08,110.11
340,59058.0,广西,蒙山,24.12,110.31
341,59059.0,广西,昭平,24.11,110.48
342,59065.0,广西,贺州,24.25,111.3
343,59209.0,广西,那坡,23.25,105.5
344,59211.0,广西,百色,23.54,106.36
345,59215.0,广西,德保,23.2,106.38
346,59218.0,广西,靖西,23.08,106.25
347,59224.0,广西,田东,23.36,107.07
348,59227.0,广西,天等,23.07,107.08
349,59228.0,广西,平果,23.19,107.35
350,59229.0,广西,隆安,23.1,107.42
351,59230.0,广西,马山,23.43,108.1
352,59235.0,广西,上林,23.26,108.37
353,59237.0,广西,武鸣,23.1,108.17
354,59238.0,广西,宾阳,23.13,108.48
355,59241.0,广西,象州,23.58,109.41
356,59242.0,广西,来宾,23.45,109.14
357,59246.0,广西,武宣,23.36,109.4
358,59255.0,广西,平南,23.33,110.23
359,59256.0,广西,藤县,23.22,110.55
360,59265.0,广西,梧州,23.29,111.18
361,59266.0,广西,苍梧,23.25,111.14
362,59419.0,广西,凭祥,22.06,106.45
363,59421.0,广西,大新,22.5,107.12
364,59429.0,广西,上思,22.11,108.01
365,59431.0,广西,南宁,22.38,108.13
366,59432.0,广西,南宁城区,22.48,108.24
367,59435.0,广西,邕宁,22.46,108.29
368,59441.0,广西,横县,22.42,109.15
369,59446.0,广西,灵山,22.25,109.18
370,59448.0,广西,浦北,22.16,109.33
371,59449.0,广西,博白,22.18,109.59
372,59451.0,广西,北流,22.42,110.21
373,59452.0,广西,容县,22.5,110.32
374,59454.0,广西,岑溪,22.57,111.0
375,59457.0,广西,陆川,22.19,110.16
376,59632.0,广西,钦州,21.57,108.37
377,59635.0,广西,防城港,21.37,108.21
378,59640.0,广西,合浦,21.4,109.11
379,59644.0,广西,北海,21.27,109.08
380,56598.0,贵州,赫章,27.08,104.44
381,56691.0,贵州,威宁,26.52,104.17
382,56792.0,贵州,普安,25.47,104.58
383,56793.0,贵州,盘县,25.43,104.28
384,57606.0,贵州,桐梓,28.08,106.5
385,57623.0,贵州,道真,28.53,107.36
386,57625.0,贵州,正安,28.33,107.27
387,57634.0,贵州,务川,28.31,107.53
388,57636.0,贵州,沿河,28.34,108.3
389,57637.0,贵州,德江,28.15,108.06
390,57647.0,贵州,松桃,28.09,109.11
391,57707.0,贵州,毕节,27.18,105.17
392,57708.0,贵州,大方,27.09,105.36
393,57710.0,贵州,仁怀,27.48,106.24
